bname,bcode,room,bed_1,bed_2,bed_3,bed_4
Aberdeen and Shire,S33000001,74.79,109.32,149.59,197.92,287.67
Argyll and Bute,S33000002,80.55,103.56,138.08,159.95,276.16
Ayrshires,S33000003,86.3,86.3,109.32,130,184.11
Dumfries and Galloway,S33000004,77.1,87.45,103.56,115.07,158.79
Dundee and Angus,S33000005,86.3,92.05,141.53,182.96,253.15
East Dunbartonshire,S33000006,97.81,126.58,172.6,230.14,322.19
Fife,S33000007,86.3,103.56,135.78,164.55,287.67
Forth Valley,S33000008,95.51,105.86,149.59,184.11,299.18
Greater Glasgow,S33000009,103.56,159.95,195.62,223.23,414.25
Highland and Islands,S33000010,87.45,109.32,136.93,159.95,195.62
Lothian,S33000011,109.32,172.6,223.23,316.44,501.7
North Lanarkshire,S33000012,86.3,101.26,126.58,155.34,205.97
Perth and Kinross,S33000013,82.66,97.81,128.88,172.6,287.67
Renfrewshire/ Inverclyde,S33000014,82.85,92.05,120.82,138.08,253.15
Scottish Borders,S33000015,74.79,86.3,115.07,141.53,226.68
South Lanarkshire,S33000016,86.3,103.56,132.33,164.74,254.76
West Dunbartonshire,S33000017,80.55,109.32,136.93,155.34,218.63
West Lothian,S33000018,94.36,115.07,143.84,172.6,256.03
96600 Blaenau Gwent,96600,54,66.74,80.55,90.9,132.33
16 West Cheshire,16,73.25,103.56,126.58,149.59,205.97
95000 North West Wales,95000,75,80.55,103.56,120.82,149.59
95100 North Clwyd,95100,58.95,80,113.92,132.33,166.85
95300 Wrexham,95300,72.84,92.05,113.92,128.88,166.85
95400 South Gwynedd,95400,58.95,74.79,87.45,103.56,120.82
95500 North Powys,95500,52.5,67.89,90.9,109.32,136.93
95600 Ceredigion,95600,62.5,92.05,110.47,121.97,138.08
95700 Brecon and Radnor,95700,52.5,71.34,98.96,115.07,138.08
95800 Pembrokeshire,95800,60,78.25,98.96,120.82,143.84
95900 Carmarthenshire,95900,62.71,80.55,97.81,110.47,136.93
96000 Swansea,96000,62.5,103.56,113.92,120.82,165.7
96100 Neath Port Talbot ,96100,62.5,79.4,95,103.56,120.82
96200 Bridgend,96200,58.68,89.75,109.32,115.07,155.34
96300 Taff Rhondda,96300,54,75,92.05,98.96,136.93
96400 Merthyr Cynon,96400,54,77.1,86.3,97.81,149.59
96500 Caerphilly,96500,75.95,79.4,103.56,108.16,138.08
96700 Torfaen,96700,54,87.45,105.86,120.82,149.59
96800 Monmouthshire,96800,75.95,95.51,126.58,149.59,178.36
96900 Vale of Glamorgan,96900,64.44,100,126.58,138.08,195.62
97000 Cardiff,97000,75.95,79.4,103.56,108.16,138.08
97100 Newport,97100,75.95,90.9,113.92,126.58,172.6
